Neurons,Astocytes,Oligodendrocyte,Macrophage,Cancerstemcell,Neuralstemcell,Microglialcell,Oligodendrocyteprecursorcell,Endothelialcell
HCRTR2,GFAP,OLIG2,CD68,CD133,SOX2,CCL4,CSPG4,PECAM1
NEUN,ALDH1L1,CNP,ARG2,NES,PROM1,ADORA3,SPN,VWF
PDGFD,ATP13A4,FA2H,BHLHE40,SOX2,NES,ADRB2,NGFR,A2M
RYR3,CBS,UGT8,CD74,CD15,CD24,BHLHE41,DCHS2,APOLD1
SDK2,SOX9,ACAT2,CD93,CD90,SOX1,BIN1,GFAP,VCAM1
STK32B,ABCA1,ACTG1,CIB1,MSI1,SOX9,KLF2,GPR56,FLT1
SYT10,ACSL6,ADAMTS4,CIITA,ALDH1A1,ASCL1,NAV3,SLC12A2,TM4SF1
TRPC3,ADCYAP1R1,AFAP1L2,CREM,ASCL1,BMI1,P2RY12,LHFPL3,CDH5
ABCC9,AGT,AMOTL2,CYBB,BMI1,MCAM,RHOB,MEGF11,
ABO,ALDOC,ANGPTL2,CYTH1,BOC,ITGB1,SALL1,NGFR,
ACOT11,ANLN,APOD,DOK3,CTNNB1,ABCB5,SIGLEC8,NES,
ADAMTS2,APOE,ARL4A,DSE,CADM1,CD34,SLC1A3,NEUROD1,
ADAMTSL1,AQP4,ASIC1,EMB,CCND2,PTPRC,SPRY1,OLIG2,
ADCY8,ARHGEF26,ASPA,FAM49A,CD24,ITGA6,TAL1,PCDH15,
ADRA2A,ATF3,ATCAY,FGR,CD271,CD81,BCL2A1,PDGFRA,
ADTRP,ATP1B2,ATP5E,FOSL2,CD44,CXCR4,CCL2,PDGFRA,
AHRR,BBOX1,BIN1,FPR3,CDH5,DCX,CD14,PCDH9,
ANKRD13A,BMPR1B,SNHG29,FXYD5,CHD7,GPR56,CD68,SLITRK6,
ANKRD18A,BTG2,C2orf27A,GPR132,CLCC1,HMGB2,CD83,SOX2,
ANXA1,C16orf89,CDH13,GPR65,EGFR,SLC12A2,CSF1R,TUBA4,
AOX1,MIR9-1,CDHR1,HLA-DMB,GD2,MKI67,GFAP,,
ARSJ,CA12,CDK18,HLA-DQA1,SLC2A3,LGR5,EBI2,,
ATP10A,CASQ1,CLDN11,HLA-DRB5,HMOX1,MSI1,HLA-DRA,,
ATP2C2,CD40,COX7C,IFITM2,HOXD9,NGFR,LAPTM5B,,
ATP8B1,CD80,CRB1,IL10,NANOG,NOTCH1,S100A10,,
B3GAT2,CD86,CSPG4,IL1RN,NFIB,NEUROD1,,,
BCL11B,CD88,CXADR,IQGAP1,POU5F1,PAX6,,,
BDNF,CDC42EP4,DAAM2,ITGA4,SCAMP3,PCSK1N,,,
BEND4,CHRDL1,DHCR24,KYNU,SLC16A1,SLITRK6,,,
LRMDA,CHST9,DHCR7,LYZ,SOX11,TUBA4A,,,
ARMH4,CLU,DLL1,METRNL,SOX4,VIM,,,
CAMK2A,CPE,DLL3,MS4A6A,TCF7L2,,,,
CCDC141,CPNE5,DPYD,MS4A7,,,,,
CCDC88C,CPVL,EBP,MXD1,,,,,
CDC14A,CRYAB,EEF1B2,NFIL3,,,,,
CDH9,CST3,EEF2,PDE4B,,,,,
CDO1,CTH,EIF3E,PIM1,,,,,
CHST8,CYBRD1,EIF3L,PLAC8,,,,,
CLMN,DAND5,EPN2,PLBD1,,,,,
CLTCL1,DGKG,ERMN,PLTP,,,,,
CNR1,DKK3,FABP7,PQLC3,,,,,
CNTN4,DNAJB1,FAU,PTPN7,,,,,
CNTNAP3,DNASE2,FDPS,S100A11,,,,,
COBL,DOK5,FERMT1,SAMHD1,,,,,
COL20A1,DTNA,FGFBP3,SH3BGRL,,,,,
COL24A1,EDNRB,FXYD6,SPINT2,,,,,
COL5A2,EEPD1,GAP43,SYNGR2,,,,,
COL6A1,EFEMP1,GJB1,TGFBI,,,,,
CREB5,EGLN3,GNB2L1,THBD,,,,,
CRIM1,EPAS1,GPR17,TMEM123,,,,,
CRTAC1,EZR,GPR37,TNFSF13,,,,,
CTNNA3,F3,GPR37L1,TREM1,,,,,
CXXC4,FGFR3,GRIA2,VOPP1,,,,,
DCHS2,FOS,GRIA4,CD163,,,,,
DCL,FOSB,GRIK2,IBA1,,,,,
DCN,FTH1,GRM3,TSPO,,,,,
DLC1,FXYD7,GSN,,,,,,
DLX1,GABRB1,HIP1,,,,,,
DLX2,GADD45B,HIPK2,,,,,,
DLX5,GATSL3,IFITM10,,,,,,
DLX6,GLI3,KCNH8,,,,,,
DPYSL5,GLIS3,KCNIP3,,,,,,
DSP,GLUL,KLK6,,,,,,
EGFR,GPR75,KLRC2,,,,,,
EMID1,GRAMD3,LDHB,,,,,,
ENO2,GRIA1,LGI3,,,,,,
EXPH5,HEPACAM,LHFPL3,,,,,,
FAM151B,HEPN1,LIMA1,,,,,,
FEZF2,HEY1,LIMS2,,,,,,
FOLR1,HGF,LMF1,,,,,,
FRAS1,HIF1A,LPAR1,,,,,,
FREM1,HIF3A,LPPR1,,,,,,
FREM2,HLA-E,LRRN1,,,,,,
GABRG1,HNMT,MAG,,,,,,
GALNT14,HSPB8,MAL,,,,,,
GAS2L3,ID1,MAML2,,,,,,
GFAP,ID4,MAP1A,,,,,,
GFRA1,IER2,MAP2,,,,,,
GHR,IGFBP7,MAP6D1,,,,,,
GLRA2,IL11RA,MARCKSL1,,,,,,
GNAL,IL33,MBP,,,,,,
GNG4,ITGA7,MEST,,,,,,
GPR149,ITGB4,MICAL1,,,,,,
GPR153,JUN,MIF,,,,,,
GPR83,JUNB,MOBP,,,,,,
GREB1L,JUND,MTSS1,,,,,,
GRIA3,KCNH7,MYT1,,,,,,
GRIK3,KCNIP2,NACA,,,,,,
GRM4,KIF21A,NAP1L1,,,,,,
HGF,L1CAM,NEU4,,,,,,
HPCAL1,LCAT,NME1,,,,,,
HPGD,LHFP,NME2,,,,,,
HPSE2,LIX1,NOGO,,,,,,
HS3ST3B1,LPL,NPM1,,,,,,
HS3ST4,LRIG1,NPPA,,,,,,
IFITM10,LRRC8A,NXPH1,,,,,,
IGFBP5,LYPD1,OLIG1,,,,,,
IL1RAPL2,MAFB,OMG,,,,,,
ITGA11,METTL7A,OPALIN,,,,,,
ITGA8,MLC1,OPCML,,,,,,
ITGB8,MMD2,P2RX7,,,,,,
JAG1,MT1X,PGRMC1,,,,,,
KCNK1,MT2A,PHACTR3,,,,,,
KIAA0864,MTHFD2,PHLDA1,,,,,,
KIAA1217,NDRG2,PHLDB1,,,,,,
KIAA1324,NFIA,PID1,,,,,,
KIT,NFKBIA,PLEKHB1,,,,,,
KLHL1,NHSL1,PLP1,,,,,,
KMO,NOG,POLR2F,,,,,,
LAMA2,NRP1,PPP1R14A,,,,,,
LAMP5,NTRK2,RAB2A,,,,,,
LIMS1,NWD1,RAB33A,,,,,,
LNX1,P2RY1,RGMB,,,,,,
LRRC38,PAPLN,RGR,,,,,,
LRRC3B,PAQR6,RPL13A,,,,,,
LRRTM3,PEA15,RPL31,,,,,,
LTBP1,PER1,RPS17L,,,,,,
LUZP2,PFKFB3,RPS2,,,,,,
LYPD6B,PLTP,RPS23,,,,,,
MAMDC2,PON2,RPSAP58,,,,,,
MAP2,PPP1R3C,RTKN,,,,,,
MARK4,PRLHR,SCD,,,,,,
MCC,PRRT2,SEC14L5,,,,,,
MCTP2,PSAP,SERINC5,,,,,,
MDGA1,RASL10A,SGK1,,,,,,
MGAT5,RASSF4,SHC4,,,,,,
MHC-I,RFX4,SHD,,,,,,
MN1,RGMA,SHISA4,,,,,,
MYB,RHOB,SIRT2,,,,,,
MYH11,RND3,SLC1A1,,,,,,
MYO10,RNF43,SNX1,,,,,,
NECAB2,S100B,SNX22,,,,,,
NELL1,SCG2,SOX8,,,,,,
NEUROD6,SCG3,TAGLN3,,,,,,
NFASC,SEMA6A,TCF12,,,,,,
NMU,SERPINA3,THY1,,,,,,
NR4A2,SF3A1,TM7SF2,,,,,,
NTNG1,SLC14A1,TMEFF2,,,,,,
NTNG2,SLC1A2,TMEM97,,,,,,
NXPH1,SLC1A3,TMSB10,,,,,,
NES,SLC30A10,TMSB4X,,,,,,
OLFML2B,SLC39A11,TNK2,,,,,,
OVOL2,SLC4A4,TRAF4,,,,,,
PAH,SORCS2,TUBB,,,,,,
PAPSS2,SORL1,TUBB3,,,,,,
PCDH20,SPARCL1,TUBB4A,,,,,,
PCDH8,SPOCK1,UQCRB,,,,,,
PCED1B,SPON1,VIPR2,,,,,,
PCSK5,SRPX,WSCD1,,,,,,
PDE9A,SSTR2,ZCCHC24,,,,,,
PDGFRA,ST6GAL2,ZDHHC9,,,,,,
PDLIM5,TACR1,ZEB2,,,,,,
PECAM1,TBC1D10A,,,,,,,
PLCXD2,TIMP3,,,,,,,
PLCXD3,TMEM151B,,,,,,,
PLD1,TNS1,,,,,,,
PLD5,TOB2,,,,,,,
PNOC,TPCN1,,,,,,,
POSTN,TRIL,,,,,,,
PPP1R1C,TRIM66,,,,,,,
PREX1,TSC22D4,,,,,,,
PRLR,TSPAN12,,,,,,,
PRRX1,ZFAND5,,,,,,,
PTPRU,ZFP36,,,,,,,
PVALB,ZFP36L1,,,,,,,
RASGEF1C,ZFP36L2,,,,,,,
RASSF3,,,,,,,,
RBM20,,,,,,,,
RCSD1,,,,,,,,
RELN,,,,,,,,
RGS12,,,,,,,,
RGS9,,,,,,,,
RIN2,,,,,,,,
RNF152,,,,,,,,
RNF182,,,,,,,,
RPH3AL,,,,,,,,
RRBP1,,,,,,,,
SCTR,,,,,,,,
SEMA3E,,,,,,,,
SEMA5A,,,,,,,,
SERPINE,,,,,,,,