Astrocytes,Cholinergic neurons,Dopaminergic neurons,Endothelial cells,GABAergic neurons,Glutamatergic neurons,Immature neurons,Immune system cells,Mature neurons,Microglial cells,Myelinating Schwann cells,Neural Progenitor cells,Neural stem cells,Neuroblasts,Neuroepithelial cells,Non myelinating Schwann cells,Oligodendrocyte precursor cells,Oligodendrocytes,Radial glial cells,Schwann precursor cells,Serotonergic neurons,Tanycytes
GFAP,CHAT,TH,PECAM1,SLC6A1,SLC17A7,DCX,MS4A1,RBFOX3,P2RY12,SOX10,CSPG4,SOX2,NEUROD1,NES,SOX10,LHFPL3,OLIG1,VIM,SOX10,TPH1,GPR50
SLC1A3,SLC18A3,SLC6A3,VWF,GABBR1,SLC17A6,NEUROD1,CCR6,MAP2,ITGAM,EGR2,RNF5,PROM1,DCX,SOX2,GAP43,MEGF11,OLIG2,NES,GAP43,SLC6A4,COL23A1
SLC1A2,ACHE,FOXA2,A2M,GABBR2,GRIN1,TBR1,CXCR3,SYP,CD40,MBP,EOMES,NES,DLX2,NOTCH1,NCAM1,PCDH15,OLIG3,PAX6,FABP7,FEV,
GLUL,,KCNJ6,APOLD1,GAD2,GRIN2B,STMN1,CD4,DLG4,PTPRC,MPZ,SOX2,SOX9,PROX1,HES1,NGFR,PDGFRA,CLDN11,HES1,MPZ,HTR1A,
S100B,,NR4A2,FLT1,GAD1,GLS,NCAM1,IL2RA,TUBB3,CD68,,SOX1,,EOMES,HES3,,CSPG4,MBP,HES5,DHH,HTR1B,
ALDH1L1,,LMX1B,TM4SF1,SLC32A1,GLUL,TUBB3,ISG20,MAPT,AIF1,,NES,,TUBB3,CDH1,,RNF5,MOG,GFAP,NGFR,,
AQP4,,DBH,CD34,,GRIN2A,,TNFRSF8,INA,CX3CR1,,PAX3,,,OCLN,,,MAG,SLC1A3,,,
IGFBP3,,SLC6A2,MCAM,,,,Trac,GAP43,TMEM119,,PAX6,,,SOX10,,,GALC,FABP7,,,
ATP13A4,,PPP1R1B,ENG,,,,Ltb,NRP1,ADGRE1,,OTX2,,,,,,CNP,TNC,,,
CBS,,,PTPRC,,,,Cd52,,C1QA,,CNTNAP1,,,,,,SOX10,CDH2,,,
SOX9,,,VCAM1,,,,,,NOS2,,ASCL1,,,,,,FA2H,SOX2,,,
CD40,,,CDH5,,,,,,TNF,,SMARCA4,,,,,,UGT8,,,,
CD80,,,,,,,,,ISYNA1,,MSI1,,,,,,,,,,
CD86,,,,,,,,,CCL4,,MSI2,,,,,,,,,,
C5AR1,,,,,,,,,ADORA3,,,,,,,,,,,,
,,,,,,,,,ADRB2,,,,,,,,,,,,
,,,,,,,,,BHLHE41,,,,,,,,,,,,
,,,,,,,,,BIN1,,,,,,,,,,,,
,,,,,,,,,KLF2,,,,,,,,,,,,
,,,,,,,,,NAV3,,,,,,,,,,,,
,,,,,,,,,RHOB,,,,,,,,,,,,
,,,,,,,,,SALL1,,,,,,,,,,,,
,,,,,,,,,SIGLEC8,,,,,,,,,,,,
,,,,,,,,,SLC1A3,,,,,,,,,,,,
,,,,,,,,,SPRY1,,,,,,,,,,,,
,,,,,,,,,TAL1,,,,,,,,,,,,